YAL001C	YAL001C	96.12	1160	45	0	1	3480	1	1160	0e+00	2179.8
YAL002W	YAL002W	97.49	1274	32	0	1	3822	1	1274	0e+00	2464.9
YAL003W	YAL003W	76.21	206	49	0	1	618	1	206	1e-81	292.4
YAL004W	YAL004W	93.95	215	13	0	1	645	1	215	2e-114	401.0
YAL004W	YAL005C	36.30	135	86	0	645	241	10	144	5e-23	97.4
YAL005C	YAL005C	94.23	607	35	0	1	1821	1	607	0e+00	1105.1
YAL007C	YAL007C	73.49	215	57	0	1	645	1	215	6e-84	299.7
YAL008W	YAL008W	84.34	198	31	0	1	594	1	198	1e-90	321.6
YAL009W	YAL009W	96.14	259	10	0	1	777	1	259	2e-143	497.3
YAL010C	YAL010C	97.57	493	12	0	1	1479	1	493	5e-285	968.8
YAL011W	YAL011W	77.92	625	138	0	1	1875	1	625	2e-269	917.5
YAL012W	YAL012W	100.00	394	0	0	1	1182	1	394	1e-226	774.6
YAL013W	YAL013W	86.22	392	54	0	40	1215	14	405	4e-193	663.3
YAL014C	YAL014C	92.86	238	17	0	1	714	1	238	2e-123	431.0
YAL015C	YAL015C	100.00	399	0	0	1	1197	1	399	2e-235	803.5
YAL016C-A	YAL016C-A	91.35	104	9	0	1	312	1	104	3e-47	176.8
YAL016C-B	YAL016C-B	100.00	61	0	0	1	183	1	61	4e-32	125.9
YAL016W	YAL016W	100.00	603	0	0	97	1905	33	635	0e+00	1165.2
YAL017W	YAL017W	90.12	1356	134	0	1	4068	1	1356	0e+00	2401.3
YAL018C	YAL018C	94.46	325	18	0	1	975	1	325	2e-178	614.4
YAL019W	YAL019W	84.00	1131	181	0	1	3393	1	1131	0e+00	1810.8
YAL019W-A	YAL019W-A	100.00	189	0	0	1	567	1	189	1e-115	404.8
YAL020C	YAL020C	96.40	333	12	0	1	999	1	333	9e-199	681.8
YAL021C	YAL021C	88.41	837	97	0	1	2511	1	837	0e+00	1476.8
YAL022C	YAL022C	85.03	501	75	0	1	1503	1	501	9e-241	822.0
YAL023C	YAL023C	98.27	753	13	0	19	2277	7	759	0e+00	1547.7
YAL024C	YAL024C	93.45	1435	94	0	1	4305	1	1435	0e+00	2606.2
YAL025C	YAL025C	73.87	287	75	0	1	861	1	287	3e-117	411.0
YAL026C	YAL026C	96.19	1339	51	0	1	4017	1	1339	0e+00	2568.9
YAL026C-A	YAL026C-A	75.17	145	36	0	1	435	1	145	5e-55	203.0
YAL027W	YAL027W	100.00	261	0	0	1	783	1	261	1e-148	515.0
YAL028W	YAL028W	79.92	528	106	0	1	1584	1	528	2e-239	817.8
YAL029C	YAL029C	99.12	1471	13	0	1	4413	1	1471	0e+00	2882.0
